,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
13,,X,X,X,X,,X,X,X,X,X,,,X,,,,,,X,X,X,,,X,,,,,,,,,,,X,,,,,X,,X,X,,X,X,,X,,,,,,X,X,,,,,X,,X,,X,,,X,,,,,,,X,,,,,,,,X,X,,,,,
14,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,X,,,,X,X,,,X,X,X,,,,,,,,,,,,,,X,,X,X,,,X,,,,X,,,,,,,,,,X,,,,,,X,,,X,,,,,X,,,,,,,,,,,,,,X,X,,,,,,,,
16,,,,,,,,X,,,,X,X,,,X,X,X,,,,,,,,,,,,,,X,,X,X,,,X,,,,X,,,,,,,,,,X,,,,,,X,,,X,,,,,X,,,,,,,,,,,,,,X,X,,,,,,,,
17,,,,,,,,X,,,,X,X,,,X,X,X,,,,,,,,,,,,,,X,,X,X,,,X,,,,X,,,,,,,,,,X,,,,,,X,,,X,,,,,X,,,,,,,,,,,,,,X,X,,,,,,,,
18,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,
19,,X,X,X,X,,X,X,X,X,X,,,X,,,,,,X,X,X,,,X,,,,,,,,,,,X,,,,,X,,X,X,,X,X,,X,,,,,,X,,,,,,X,,X,,X,,,X,,,,,,,,,,,,,,,,X,,,,,
20,,X,X,X,X,,X,X,X,X,X,,,X,,,,,,X,X,X,,,X,,,,,,,,,,,X,,,,,X,,X,X,,X,X,,X,,,,,,X,,,,,,X,,X,,X,,,X,,,,,,,,,,,,,,,,X,,,,,
21,,X,X,X,X,,X,X,X,X,X,,,X,,,,,,X,X,X,X,X,X,X,X,X,X,,X,,X,X,X,X,,X,X,X,X,,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X,,,X,,X,,X,X,X,,X,,X,X,X,,X,,X,X,X,X,X,X
22,,,,,X,,X,,,X,,,,,,,,,,,,X,X,X,,,,X,X,,X,,X,X,X,,,,X,X,X,,,X,X,,,,X,,,X,X,X,,X,X,,,,,X,X,X,,,,,,,,X,X,,,X,,,X,,,X,,,,X,X,X,
23,,,,,X,,X,,,X,,,,,,,,,,,,X,X,X,,,,X,X,,X,,X,X,X,,,,X,X,X,,,X,X,,,,X,,,X,X,X,,X,X,,,,,X,X,X,,,,,,,,X,X,,,X,,,X,,,X,,,,X,X,X,
24,,X,X,X,X,,X,X,X,X,X,,,X,,,,,,X,X,X,,,X,X,X,,X,X,,,,,,X,,X,X,X,X,,X,X,,X,X,,X,X,X,X,X,,X,,X,,,X,X,,X,X,X,,,X,,X,,,X,X,,,,X,,X,,,,X,X,X,,,X
25,,,,,,,,,,X,X,,,,,,,,,,,X,,,X,X,X,,X,X,,,,,,,,X,X,X,X,,,,,,X,,,X,X,X,X,,X,,X,,,X,,,,X,,,,,,X,,,X,X,,,,X,,X,,,,,X,X,,,X
26,,,,,,,,,,X,X,,,,,,,,,,,X,,,X,X,X,,X,X,,,,,,,,X,X,X,X,,,,,,,,,X,X,X,X,,,,X,,,X,,,,X,,,,,,X,,,X,X,,,,X,,X,,,,,X,X,,,X
27,,,,,X,,X,,,X,,,,,,,,,,,,X,X,X,,,,X,X,,X,,X,X,X,,,,X,X,X,,,X,X,,,,X,,,X,X,X,,X,X,,,,,X,X,X,,,,,,,,X,X,,,X,,,X,,,X,,,,X,X,X,
28,,,,,X,,X,,,X,X,,,,,,,,,,,X,X,X,X,X,X,X,X,,X,,X,X,X,,,X,X,X,X,,,X,X,,,,X,X,X,X,X,X,,X,X,,,X,,X,X,X,,,,,,X,,X,X,X,,X,,X,X,X,,X,,,X,X,X,X,X
29,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
30,,,,,X,,X,,,X,,,,,,,,,,,,X,X,X,,,,X,X,,X,,X,X,X,,,,X,X,X,,,X,X,,,,X,,,X,X,X,,X,X,,,,,X,X,X,,,,,,,,X,X,,,X,,,X,,,X,,,,X,X,X,
31,,,,,,,,X,,,,X,X,,,X,X,X,,,,,,,,,,,,,,X,,X,X,,,X,,,,X,,,,,,,,,,X,,,,,,X,,,X,,,,,X,,,,,,,,,,,,,,X,X,,,,,,,,
32,,,,,X,,X,,,X,,,,,,,,,,,,X,X,X,,,,X,X,,X,,X,X,X,,,,X,X,X,,,X,X,,,,X,,,X,X,X,,X,X,,,,,X,X,X,,,,,,,,X,X,,,X,,,X,,,X,,,,X,X,X,
33,,,,,X,,X,X,,X,,X,X,,,X,X,X,,,,X,X,X,,,,X,X,,X,X,X,X,X,,,X,X,X,X,X,,X,X,,,,X,,,X,X,X,,X,X,X,,,X,X,X,X,,X,,,,,,X,X,,,X,,,X,X,X,X,,,,X,X,X,
34,,,,,X,,X,X,,X,,X,X,,,X,X,X,,,,X,X,X,,,,X,X,,X,X,X,X,X,,,X,X,X,X,X,,X,X,,,,X,,,X,X,X,,X,X,X,,,X,X,X,X,,X,,,,,,X,X,,,X,,,X,X,X,X,,,,X,X,X,
35,,X,X,X,X,,X,X,X,X,X,,,X,,,,,,X,X,X,,,X,,,,,,,,,,,X,,,,,X,,X,X,,X,X,,X,,,,,,X,,,,,,X,,X,,X,,,X,,,,,,,,,,,,,,,,X,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,X,,X,X,X,X,,,X,X,X,,,,X,,,X,X,X,,X,,,X,,X,X,,,X,X,X,X,X,,,,,,,,X,X,X,X,,,,X,X,,X,X,,,X,,X,,,,X,,,X,X,,,,X,,X,X,,,,X,X,,,X
38,,,,,X,,X,,,X,X,,,,,,,,,,,X,X,X,X,X,X,X,X,,X,,X,X,X,,,X,X,X,X,,,X,X,,,,X,X,X,X,X,X,,X,X,,,X,,X,X,X,,,,,,X,,X,X,X,,X,,X,X,X,,X,,,X,X,X,X,X
39,,,,,X,,X,,,X,X,,,,,,,,,,,X,X,X,X,X,X,X,X,,X,,X,X,X,,,X,X,X,X,,,X,X,,,,X,X,X,X,X,X,,X,X,,,X,,X,X,X,,,,,,X,,X,X,X,,X,,X,X,X,,X,,,X,X,X,X,X
40,,X,X,X,X,,X,X,X,X,X,,,X,,,,,,X,X,X,X,X,X,X,X,X,X,,X,,X,X,X,X,,X,X,X,X,,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X,,,X,,X,,X,X,X,,X,,X,X,X,,X,,X,X,X,X,X,X
41,,,,,,,,X,,,,X,X,,,X,X,X,,,,,,,,,,,,,,X,,X,X,,,X,,,,X,,,,,,,,,,X,,,,,,X,,,X,,,,,X,,,,,,,,,,,,,,X,X,,,,,,,,
42,,X,X,X,X,,X,X,X,X,X,,,X,,,,,,X,X,X,,,X,,,,,,,,,,,X,,,,,X,,X,X,,X,X,,X,,,,,,X,,,,,,X,,X,,X,,,X,,,,,,,,,,,,,,,,X,,,,,
43,,X,X,X,X,,X,X,X,X,X,,,X,,,,,,X,X,X,X,X,X,,,X,X,,X,,X,X,X,X,,,X,X,X,,X,X,X,X,X,,X,,,X,X,X,X,X,X,,,,X,X,X,X,X,,,X,,,,X,X,,,X,,,X,,,X,,X,,X,X,X,
44,,,,,X,,X,,,X,,,,,,,,,,,,X,X,X,,,,X,X,,X,,X,X,X,,,,X,X,X,,,X,X,,,,X,,,X,X,X,,X,X,,,,,X,X,X,,,,,,,,X,X,,,X,,,X,,,X,,,,X,X,X,
45,,X,X,X,X,,X,X,X,X,X,,,X,,,,,,X,X,X,,,X,,,,,,,,,,,X,,,,,X,,X,X,,X,X,,X,,,,,,X,,,,,,X,,X,,X,,,X,,,,,,,,,,,,,,,,X,,,,,
46,,X,X,X,X,,X,X,X,X,X,,,X,,,,,,X,X,X,,,X,X,,,,X,,,,,,X,,,,,X,,X,X,,X,X,,X,,,,,,X,,,,,,X,,X,,X,,,X,,,,,,X,,,,,,,,,,X,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,X,X,X,X,,X,X,X,X,X,,,X,,,,,,X,X,X,X,X,X,,,X,X,,X,,X,X,X,X,,,X,X,X,,X,X,X,X,X,,X,,,X,X,X,X,X,X,,,,X,X,X,X,X,,,X,,,,X,X,,X,X,,,X,,,X,X,X,,X,X,X,
49,,,,,,,,,,X,X,,,,,,,,,,,X,,,X,X,X,,X,,,,,,,,,X,X,X,X,,,,,,,,,X,X,X,X,,,,X,,,X,,,,X,,,,,,X,,,X,X,,,,X,,X,,,,,X,X,,,X
50,,,,,,,,,,X,X,,,,,,,,,,,X,,,X,X,X,,X,,,,,,,,,X,X,X,X,,,,,,,,,X,X,X,X,,,,X,,,X,,,,X,,,,,,X,,,X,X,,,,X,,X,,,,,X,X,,,X
51,,,,,X,,X,X,,X,X,X,X,,,X,X,X,,,,X,X,X,X,X,X,X,X,,X,X,X,X,X,,,X,X,X,X,X,,X,X,,,,X,X,X,X,X,X,,X,X,X,,X,X,X,X,X,,X,,,,X,,X,X,X,,X,,X,X,X,X,X,,,X,X,X,X,X
52,,,,,X,,X,,,X,X,,,,,,,,,,,X,X,X,X,X,X,X,X,,X,,X,X,X,,,X,X,X,X,,,X,X,,,,X,X,X,X,X,X,,X,X,,,X,,X,X,X,,,,,,X,,X,X,X,,X,,X,X,X,,X,,,X,X,X,X,X
53,,,,,X,,X,,,X,,,,,,,,,X,,,X,X,X,,,,X,X,,X,,X,X,X,,,,X,X,X,,,X,X,,,,X,,,X,X,X,,X,X,,,,,X,X,X,,,,,X,,,X,X,,,X,,,X,,,X,,,,X,X,X,
54,,X,X,X,X,,X,X,X,X,X,,,X,,,,,,X,X,X,,,X,X,,,,X,,,,,,X,,,,,X,,X,X,,X,X,,X,,,,,,X,X,,,,,X,,X,,X,,,X,,,,,,X,X,,,,,,,,X,X,,,,,
55,,,X,X,X,,X,X,,X,,,,X,,,,,,,,X,X,X,,,,X,X,,X,,X,X,X,,,,X,X,X,,,X,X,,,,X,,,X,X,X,X,X,X,,,,X,X,X,X,,,,,,,,X,X,,X,X,,,X,,,X,X,,,X,X,X,
56,,,,,X,,X,,,X,X,,,,,,,,,,,X,X,X,X,X,X,X,X,,X,,X,X,X,,,X,X,X,X,,,X,X,,,,X,X,X,X,X,X,,X,X,,,X,,X,X,X,,,,,,X,,X,X,X,,X,,X,X,X,,X,,,X,X,X,X,X
57,,,,,,,,X,,,,X,X,,,X,X,X,,,,,,,,,,,,,,X,,X,X,,,X,,,,X,,,,,,,,,,X,,,,,,X,,,X,,,,,X,,,,,,,,,,,,,,X,X,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,X,X,,,,,,,,,,,X,,,X,X,X,,X,,,,,,,,,X,X,X,X,,,,,,,,,X,X,X,X,,,,X,,,X,,,,X,,,,,,X,,,X,X,,,,X,,X,,,,,X,X,,,X
60,,X,X,X,X,,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,,,X,,,,,,,X,,X,X,X,,X,,,X,X,X,X,,X,X,,X,,,X,,,X,X,,X,,,X,,X,,X,X,,X,,,,,,,X,,,,,X,X,,X,X,,,,,
61,,,,,X,,X,,,X,,,,,,,,,,,,X,X,X,,,,X,X,,X,,X,X,X,,,,X,X,X,,,X,X,,,,X,,,X,X,X,,X,X,,,,,X,X,X,,,,,,,,X,X,,,X,,,X,,,X,,,,X,X,X,
62,,X,X,X,X,,X,X,X,X,X,,,X,,,,,,X,X,X,X,X,X,,,X,X,,X,,X,X,X,X,,,X,X,X,,X,X,X,X,X,,X,,,X,X,X,X,X,X,,,,X,X,X,X,X,,,X,,,,X,X,,,X,,,X,,,X,,X,,X,X,X,
63,,,,,X,,X,,,X,X,,,,,,,,,,,X,X,X,X,X,X,X,X,,X,,X,X,X,,,X,X,X,X,,,X,X,,,,X,X,X,X,X,X,,X,X,,,X,,X,X,X,,,,,,X,,X,X,X,,X,,X,X,X,,X,,,X,X,X,X,X
64,,X,X,X,X,,X,X,X,X,X,,,X,,,,,,X,X,X,,,X,,,,,,,,,,,X,,,,,X,,X,X,,X,X,,X,,,,,,X,,,,,,X,,X,,X,,,X,,,,,,,,,,,,,,,,X,,,,,
65,,,,,,,,X,,,,X,X,,,X,X,X,,,,,,,,,,,,,,X,,X,X,,,X,,,,X,,,,,,,,,,X,,,,,,X,,,X,,,,,X,,,,,,,,,,,,,,X,X,,,,,,,,
66,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,
67,,X,X,X,X,,X,X,X,X,X,,,X,,,,,,X,X,X,,,X,,,,,,,,,,,X,,,,,X,,X,X,,X,X,,X,,,,,,X,,,,,,X,,X,,X,,,X,,,,,,,,,,,,,,,,X,,,,,
68,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,
69,,,,,,,,,,X,X,,,,,,,,,,,X,,,X,X,X,,X,,,,,,,,,X,X,X,X,,,,,,,,,X,X,X,X,,,,X,,,X,,,,X,,,,,,X,,,X,X,,,,X,,X,,,,,X,X,,,X
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
71,,,,,X,,X,,,X,,,,,,,,,,,,X,X,X,,,,X,X,,X,,X,X,X,,,,X,X,X,,,X,X,,,,X,,,X,X,X,,X,X,,,,,X,X,X,,,,,,,,X,X,,,X,,,X,,,X,,,,X,X,X,
72,,,,,X,,X,,,X,X,,,,,,,,,,,X,X,X,X,X,X,X,X,,X,,X,X,X,,,X,X,X,X,,,X,X,,,,X,X,X,X,X,X,,X,X,,,X,,X,X,X,,,,,,X,,X,X,X,,X,,X,X,X,,X,,,X,X,X,X,X
73,,,,,,,,,,X,X,,,,,,,,,,,X,,,X,X,X,,X,X,,,,,,,,X,X,X,X,,,,,,X,,,X,X,X,X,,X,,X,,,X,,,,X,,,,,,X,,,X,X,,,,X,,X,,,,,X,X,,,X
74,,,X,X,,,X,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,X,,,,,X,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,
75,,,,,X,,X,,,X,,,,,,,,,X,,,X,X,X,,,,X,X,,X,,X,X,X,,,,X,X,X,,,X,X,,,,X,,,X,X,X,,X,X,,,,,X,X,X,,,,,X,,,X,X,,,X,,,X,,,X,,,,X,X,X,
76,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,
77,,,,,,,,,,X,X,,,,,,,,,,,X,,,X,X,X,,X,,,,,,,,,X,X,X,X,,,,,,,,,X,X,X,X,,,,X,,,X,,,,X,,,,,,X,,,X,X,,,,X,,X,,,,,X,X,,,X
78,,,,,X,,X,,,X,,,,,,,,,,,,X,X,X,,,,X,X,,X,,X,X,X,,,,X,X,X,,,X,X,,,,X,,,X,X,X,,X,X,,,,,X,X,X,,,,,,,,X,X,,,X,,,X,,,X,,,,X,X,X,
79,,,,,,,,X,,X,X,X,X,,,X,X,X,,,,X,,,X,X,X,,X,,,X,,X,X,,,X,X,X,X,X,,,,,,,,X,X,X,X,,,,X,X,,X,X,,,X,,X,,,,X,,,X,X,,,,X,,X,X,,,,X,X,,,X
80,,,,,,,,X,,,,X,X,,,X,X,X,,,,,,,,,,,,,,X,,X,X,,,X,,,,X,,,,,,,,,,X,,,,,,X,,,X,,,,,X,,,,,,,,,,,,,,X,X,,,,,,,,
81,,,,,X,,X,,,X,,,,,,,,,,,,X,X,X,,,,X,X,,X,,X,X,X,,,,X,X,X,,,X,X,,,,X,,,X,X,X,,X,X,,,,,X,X,X,,,,,,,,X,X,,,X,,,X,,,X,,,,X,X,X,
82,,,X,X,,,X,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,X,,,,,X,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,
83,,X,X,X,X,,X,X,X,X,X,,,X,,,,,,X,X,X,,,X,,,,,,,,,,,X,,,,,X,,X,X,,X,X,,X,,,,,,X,,,,,,X,,X,,X,,,X,,,,,,,,,,,,,,,,X,,,,,
84,,,,,,,,,,X,X,,,,,,,,,,,X,,,X,X,X,,X,,,,,,,,,X,X,X,X,,,,,,,,,X,X,X,X,,,,X,,,X,,,,X,,,,,,X,,,X,X,,,,X,,X,,,,,X,X,,,X
85,,,,,X,,X,,,X,X,,,,,,,,,,,X,X,X,X,X,X,X,X,,X,,X,X,X,,,X,X,X,X,,,X,X,,,,X,X,X,X,X,X,,X,X,,,X,,X,X,X,,,,,,X,,X,X,X,,X,,X,X,X,,X,,,X,X,X,X,X
86,,,,,X,,X,,,X,,,,,,,,,,,,X,X,X,,,,X,X,,X,,X,X,X,,,,X,X,X,,,X,X,,,,X,,,X,X,X,,X,X,,,,,X,X,X,,,,,,,,X,X,,,X,,,X,,,X,,,,X,X,X,
87,,,,,X,,X,,,X,,,,,,,,,,,,X,X,X,,,,X,X,,X,,X,X,X,,,,X,X,X,,,X,X,,,,X,,,X,X,X,,X,X,,,,,X,X,X,,,,,,,,X,X,,,X,,,X,,,X,,,,X,X,X,
88,,,,,,,,,,X,X,,,,,,,,,,,X,,,X,X,X,,X,,,,,,,,,X,X,X,X,,,,,,,,,X,X,X,X,,,,X,,,X,,,,X,,,,,,X,,,X,X,,,,X,,X,,,,,X,X,,,X
